dimensions,budget,algorithm,rank,ngopt rank,algo ID
15,3500,ChainMetaModelPowell,3,3,1
15,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
15,3500,MetaModel,3,3,3
10,3500,ChainMetaModelPowell,3,3,1
10,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
10,3500,MetaModel,3,3,3
5,3500,ChainMetaModelPowell,3,3,1
5,3500,MetaModel,3,3,3
25,1500,MetaModelOnePlusOne,3,3,4
100,2500,CMA,3,3,0
3,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,3500,CMA,3,3,0
30,1500,MetaModelOnePlusOne,3,3,4
100,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
35,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,1000,MetaModelOnePlusOne,3,3,4
3,2500,CMA,3,3,0
60,2000,MetaModelOnePlusOne,3,3,4
20,4500,ChainMetaModelPowell,3,3,1
20,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
20,4500,MetaModel,3,3,3
15,4500,ChainMetaModelPowell,3,3,1
15,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
15,4500,MetaModel,3,3,3
50,4000,CMA,3,3,0
30,1000,MetaModelOnePlusOne,3,3,4
10,4500,ChainMetaModelPowell,3,3,1
10,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
10,4500,MetaModel,3,3,3
70,2000,MetaModelOnePlusOne,3,3,4
5,4500,ChainMetaModelPowell,3,3,1
5,4500,MetaModel,3,3,3
35,1000,MetaModelOnePlusOne,3,3,4
80,2000,MetaModelOnePlusOne,3,3,4
3,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,4500,CMA,3,3,0
25,2000,MetaModelOnePlusOne,3,3,4
25,1000,MetaModelOnePlusOne,3,3,4
35,4500,ChainMetaModelPowell,3,3,1
35,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,1000,MetaModel,3,3,3
3,1000,ChainMetaModelPowell,3,3,1
100,4500,ChainMetaModelPowell,3,3,1
100,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,4500,CMA,3,3,0
40,2000,MetaModelOnePlusOne,3,3,4
90,4500,ChainMetaModelPowell,3,3,1
90,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
90,4500,CMA,3,3,0
20,2000,MetaModel,3,3,3
45,2000,MetaModelOnePlusOne,3,3,4
70,4500,CMA,3,3,0
50,2000,MetaModelOnePlusOne,3,3,4
50,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
50,4500,CMA,3,3,0
45,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,4500,ChainMetaModelPowell,3,3,1
40,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
40,4500,ChainMetaModelPowell,3,3,1
20,1000,MetaModelOnePlusOne,3,3,4
70,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
40,1000,MetaModelOnePlusOne,3,3,4
50,1500,MetaModelOnePlusOne,3,3,4
100,2000,MetaModelOnePlusOne,3,3,4
20,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
90,4000,ChainMetaModelPowell,3,3,1
90,2000,MetaModelOnePlusOne,3,3,4
90,4000,CMA,3,3,0
50,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,4000,CMA,3,3,0
100,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
70,4000,CMA,3,3,0
45,1000,MetaModelOnePlusOne,3,3,4
50,1000,MetaModelOnePlusOne,3,3,4
70,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,4000,ChainMetaModelPowell,3,3,1
90,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
80,4000,MetaModelOnePlusOne,3,3,4
20,2000,ChainMetaModelPowell,3,3,1
80,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,2000,ChainMetaModelPowell,4,4,1
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,4,22
2,300,CMA,4,4,0
2,2500,CMA,4,4,0
80,1500,CMA,4,4,0
2,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,10000,ChainMetaModelPowell,4,4,1
70,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,10000,MetaModel,4,4,3
70,10000,CMA,4,4,0
100,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
100,2000,CMA,4,4,0
90,1500,CMA,4,4,0
25,10000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,2000,CMA,4,4,0
5,200,ChainMetaModelPowell,4,4,1
10,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
100,200,ConfPortfolio_scale2_NA_ngopt14s_6,4,4,12
3,10000,ChainMetaModelPowell,4,4,1
5,200,MetaModel,4,4,3
60,10000,MetaModel,4,4,3
2,3000,CMA,4,4,0
45,2000,CMA,4,4,0
70,1500,CMA,4,4,0
40,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
10,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
10,300,ChainMetaModelPowell,4,4,1
60,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
15,10000,ChainMetaModelPowell,4,4,1
50,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,1500,CMA,4,4,0
30,3000,ChainMetaModelPowell,4,4,1
50,8000,CMA,4,4,0
50,1500,CMA,4,4,0
15,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,300,ChainMetaModelPowell,4,4,1
45,8000,MetaModel,4,4,3
45,8000,CMA,4,4,0
50,8000,MetaModel,4,4,3
5,10000,ChainMetaModelPowell,4,4,1
70,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
60,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
3,300,MetaModelOnePlusOne,4,4,4
100,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
20,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,2000,CMA,4,4,0
90,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
30,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
5,300,MetaModel,4,4,3
30,200,CMA,4,4,0
35,2000,ChainMetaModelPowell,4,4,1
10,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,4,4,35
25,200,CMA,4,4,0
5,300,ChainMetaModelPowell,4,4,1
